Country,Text,Translation,Type,Item,Region1,Region2,Region3,Region4,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
BCS,Los socios vieron el documento que censuró duramente el director en la junta.,The associates saw the document that the director harshly censured in the meeting.,OIA,5,7,8,9-10,11-13,9.249119,11.502193,11.554227,2.270875,5.216635,3.01976,9.831746,9.617011,2.089983,7.803398,5.476994,2.946962,5.881823,,9.831746,9.617011,9.893381,14.305779
BCS,Aplaudieron al mecenas que sacó súbitamente al artista del anonimato.,They applauded the patron that quickly brought back the artist from anonymity.,SAA,6,5,6,7-8,9-10,26.057919,2.466897,12.324449,2.824028,6.446486,20.389862,2.538318,3.272577,2.36749,3.549238,,,,,6.446486,20.389862,5.810895,5.916728
BCS,Aplaudieron la escultura que sacó súbitamente al artista del anonimato.,They applauded the sculpture that quickly brought back the artist from anonymity.,SIA,6,5,6,7-8,9-10,26.057905,1.905065,9.996384,2.751042,10.489145,17.041358,2.204721,3.519817,4.211013,0.163889,,,,,10.489145,17.041358,5.724538,4.374902
BCS,Aplaudieron al mecenas que sacó súbitamente el artista del anonimato.,They applauded the patron that the artist quickly brought back from anonymity.,OAA,6,5,6,7-8,9-10,26.057919,2.466897,12.324449,2.824028,6.446486,20.389862,3.837363,5.644092,2.386449,3.551703,,,,,6.446486,20.389862,9.481455,5.938152
BCS,Aplaudieron la escultura que sacó súbitamente el artista del anonimato.,They applauded the sculpture that the artist quickly brought back from anonymity.,OIA,6,5,6,7-8,9-10,26.057905,1.905065,9.996384,2.751042,10.489145,17.041358,3.041168,3.893929,4.707057,5.86977,,,,,10.489145,17.041358,6.935097,10.576827
BCS,Denunciaron al cirujano que acusó en público al médico de calumniador.,They denounced the surgeon that overtly accused the doctor of being a slanderer.,SAA,7,5,6-7,8-9,10-11,24.245913,3.10197,8.600009,1.714792,6.837935,4.601207,4.957298,2.226459,2.443605,1.957989,18.10624,,,,6.837935,9.558505,4.670064,20.064229
BCS,Denunciaron el informe que acusó en público al médico de calumniador.,They denounced the report that overtly accused the doctor of being a slanderer.,SIA,7,5,6-7,8-9,10-11,24.245913,3.187898,7.452576,3.425439,7.475013,5.98384,7.522686,1.683205,5.046873,2.230002,13.973496,,,,7.475013,13.506526,6.730078,16.203498
BCS,Denunciaron al cirujano que acusó en público el médico de calumniador.,They denounced the surgeon that the doctor overtly accused of being a slanderer.,OAA,7,5,6-7,8-9,10-11,24.245913,3.10197,8.600009,1.714792,6.837935,4.601207,4.957298,6.571249,6.892435,1.93417,17.629573,,,,6.837935,9.558505,13.463684,19.563743
BCS,Denunciaron el informe que acusó en público el médico de calumniador.,They denounced the file that the doctor overtly accused of being a slanderer.,OIA,7,5,6-7,8-9,10-11,24.245913,3.187898,7.452576,3.425439,7.475013,5.98384,7.522686,6.032889,6.547288,2.04213,15.877434,,,,7.475013,13.506526,12.580177,17.919564
BCS,El banco apoyó al director que financiaba fuertemente al ejecutivo de inversiones.,The bank supported the director that strongly funded the executive of the investment fund.,SAA,8,7,8,9-10,11-12,8.230895,12.084663,10.52492,2.793875,5.765587,6.543008,9.7543,10.716167,1.980963,7.639626,1.796599,8.500288,,,9.7543,10.716167,9.620589,10.296887
BCS,El banco apoyó el proyecto que financiaba fuertemente al ejecutivo de inversiones.,The bank supported the plan that strongly funded the executive of the investment fund.,SIA,8,7,8,9-10,11-12,8.230895,12.084663,10.52492,2.009785,1.455046,3.638863,8.861477,11.247982,3.389009,7.43939,1.523257,10.437578,,,8.861477,11.247982,10.828399,11.960835
BCS,El banco apoyó al director que financiaba fuertemente el ejecutivo de inversiones.,The bank supported the director that the executive of the investment fund strongly funded.,OAA,8,7,8,9-10,11-12,8.230895,12.084663,10.52492,2.793875,5.765587,6.543008,9.7543,10.716167,2.387084,8.416305,1.651446,7.653797,,,9.7543,10.716167,10.803389,9.305243
BCS,El banco apoyó el proyecto que financiaba fuertemente el ejecutivo de inversiones.,The bank supported the project that the executive of the investment fund strongly funded.,OIA,8,7,8,9-10,11-12,8.230895,12.084663,10.52492,2.009785,1.455046,3.638863,8.861477,11.247982,1.769329,10.403349,1.275595,9.559035,,,8.861477,11.247982,12.172678,10.83463
BCS,Censuraron al periodista que denunció duramente al político a través de la radio.,They censored the journalist that directly denounced the politician through the radio.,SAA,9,5,6,7-8,9-13,26.331871,3.054773,3.550504,3.163534,2.895341,9.956444,2.197281,6.272543,5.185239,3.039505,0.056798,3.225032,1.78036,,2.895341,9.956444,8.469824,13.286934
BCS,Censuraron el programa que denunció duramente al político a través de la radio.,They censored the program that directly denounced the politician through the radio.,SIA,9,5,6,7-8,9-13,26.331871,2.546243,3.865835,3.256176,5.827924,10.829575,2.295003,7.025906,5.200363,3.610318,0.119353,2.541967,3.264927,,5.827924,10.829575,9.320909,14.736928
BCS,Censuraron al periodista que denunció duramente el político a través de la radio.,They censored the journalist that the politician directly denounced through the radio.,OAA,9,5,6,7-8,9-13,26.331871,3.054773,3.550504,3.163534,2.895341,9.956444,1.767036,11.349065,4.915277,3.599977,0.054413,3.377933,1.799053,,2.895341,9.956444,13.116101,13.746653
BCS,Censuraron el programa que denunció duramente el político a través de la radio.,They censored the program that the politician directly denounced through the radio.,OIA,9,5,6,7-8,9-13,26.331871,2.546243,3.865835,3.256176,5.827924,10.829575,1.708751,10.84049,4.770452,4.527225,0.129738,2.471893,2.280908,,5.827924,10.829575,12.549241,14.180216
BCS,Investigaron al testigo que señalaba claramente al asesino durante el juicio.,They investigated the witness that clearly signaled to the murderer during the judgement.,SAA,10,5,6,7-8,9-11,21.052979,5.402369,8.650333,2.119775,7.573139,10.538918,1.551943,2.122689,6.46552,0.598146,0.700215,,,,7.573139,10.538918,3.674632,7.763881
BCS,Investigaron la prueba que señalaba claramente al asesino durante el juicio.,They investigated the evidence that clearly pointed to the murderer during the judgement.,SIA,10,5,6,7-8,9-11,21.052979,1.386163,8.472249,4.654993,9.17406,12.179553,3.519811,5.150593,7.458751,0.91511,0.481724,,,,9.17406,12.179553,8.670404,8.855585
BCS,Investigaron al testigo que señalaba claramente el asesino durante el juicio.,They investigated the witness that the murderer clearly signalled to during the judgement.,OAA,10,5,6,7-8,9-11,21.052979,5.402369,8.650333,2.119775,7.573139,10.538918,3.018837,4.345374,6.983979,0.63355,1.05079,,,,7.573139,10.538918,7.364211,8.668319
BCS,Investigaron la prueba que señalaba claramente el asesino durante el juicio.,They investigated the evidence that the murderer clearly pointed to during the judgement.,OIA,10,5,6,7-8,9-11,21.052979,1.386163,8.472249,4.654993,9.17406,12.179553,2.355021,9.034496,7.575708,0.971793,0.588146,,,,9.17406,12.179553,11.389517,9.135647
BCS,Criticaron al político que superó ilegalmente al candidato en el partido.,They criticized the politician that illegally overcame the candidate in the party.,SAA,11,5,6,7-8,9-11,26.755276,2.511925,6.751113,4.517457,9.742691,8.394998,3.39294,2.273084,5.075275,1.465886,3.982363,,,,9.742691,8.394998,5.666024,10.523524
BCS,Criticaron la votación que superó ilegalmente al candidato en el partido.,They criticized the poll that illegally overcame the candidate in the party.,SIA,11,5,6,7-8,9-11,26.755276,2.352215,6.555926,4.187182,7.300659,7.984412,2.821837,3.687671,5.546852,1.808241,4.527728,,,,7.300659,7.984412,6.509508,11.882821
BCS,Criticaron al político que superó ilegalmente el candidato en el partido.,They criticized the politician that the candidate illegally overcame in the party.,OAA,11,5,6,7-8,9-11,26.755276,2.511925,6.751113,4.517457,9.742691,8.394998,1.643298,6.862193,4.550324,1.609629,3.981867,,,,9.742691,8.394998,8.505491,10.14182
BCS,Criticaron la votación que superó ilegalmente el candidato en el partido.,They criticized the poll that the candidate illegally overcame in the party.,OIA,11,5,6,7-8,9-11,26.755276,2.352215,6.555926,4.187182,7.300659,7.984412,1.632633,7.793833,5.392733,1.84572,4.736843,,,,7.300659,7.984412,9.426466,11.975296
BCS,Asaltaron al secretario que recogió esa tarde al ejecutivo en la estación.,They attacked the secretary that picked up the executive this afternoon at the station.,SAA,12,5,6-7,8-9,10-12,23.683211,3.618133,6.446269,6.85273,7.430128,9.55821,4.381854,3.198826,8.366753,1.787746,1.681796,3.2842,,,7.430128,13.940064,11.565579,6.753742
BCS,Asaltaron el coche que recogió esa tarde al ejecutivo en la estación.,They attacked the car that picked up the executive this afternoon at the station.,SIA,12,5,6-7,8-9,10-12,23.683211,2.950769,7.219316,3.659142,7.391146,10.588084,2.964282,2.063879,8.328166,2.564619,1.517866,2.540937,,,7.391146,13.552366,10.392045,6.623422
BCS,Asaltaron al secretario que recogió esa tarde el ejecutivo en la estación.,They attacked the secretary that the executive picked up this afternoon at the station.,OAA,12,5,6-7,8-9,10-12,23.683211,3.618133,6.446269,6.85273,7.430128,9.55821,4.381854,1.798052,11.155641,2.599583,1.658437,3.772879,,,7.430128,13.940064,12.953693,8.030899
BCS,Asaltaron el coche que recogió esa tarde el ejecutivo en la estación.,They attacked the car that the executive picked up this afternoon at the station.,OIA,12,5,6-7,8-9,10-12,23.683211,2.950769,7.219316,3.659142,7.391146,10.588084,2.964282,4.177452,7.845241,2.824453,1.487242,2.750243,,,7.391146,13.552366,12.022693,7.061938
BCS,El vecino vio al perro que destrozó por completo al motorista en el cruce.,The neighbour saw the dog that completely destroyed the motorist at the crossroads.,SAA,13,7,8-9,10-11,12-14,8.230895,13.230087,9.299623,3.219141,3.360495,3.469075,9.59683,6.63798,1.75087,4.410254,11.598515,2.284819,1.979769,4.577898,9.59683,8.38885,16.008769,8.842486
BCS,El vecino vio el vehículo que destrozó por completo al motorista en el cruce.,The neighbour saw the car that completely destroyed the motorist at the crossroads.,SIA,13,7,8-9,10-11,12-14,8.230895,13.230087,9.299623,2.802722,6.780486,3.106328,9.154718,6.553222,1.27748,3.647785,5.062078,1.805274,1.700263,2.614439,9.154718,7.830702,8.709863,6.119976
BCS,El vecino vio al perro que destrozó por completo el motorista en el cruce.,The neighbour saw the dog that the motorist completely destroyed at the crossroads.,OAA,13,7,8-9,10-11,12-14,8.230895,13.230087,9.299623,3.219141,3.360495,3.469075,9.59683,6.63798,1.75087,1.684845,14.726076,2.354636,1.762937,4.818676,9.59683,8.38885,16.410921,8.936249
BCS,El vecino vio el vehículo que destrozó por completo el motorista en el cruce.,The neighbour saw the car that the motorist completely destroyed at the crossroads.,OIA,13,7,8-9,10-11,12-14,8.230895,13.230087,9.299623,2.802722,6.780486,3.106328,9.154718,6.553222,1.27748,1.166984,12.043759,1.959726,1.694685,2.914216,9.154718,7.830702,13.210743,6.568627
BCS,La policía paró al conductor que remolcó ayer al camionero en la carretera.,The police stopped the driver that towed the trucker yesterday on the highway.,SAA,14,7,8,9-10,11-13,8.338458,9.887499,14.015458,3.007924,2.619594,2.190888,10.840126,9.333801,3.394096,5.669472,3.459111,1.982945,2.471929,,10.840126,9.333801,9.063568,7.913985
BCS,La policía paró el tractor que remolcó ayer al camionero en la carretera.,The police stopped the tractor that towed the trucker yesterday on the highway.,SIA,14,7,8,9-10,11-13,8.338458,9.887499,14.015458,2.185256,9.050882,1.69807,10.644733,8.799621,3.050145,6.174251,3.430152,2.086102,2.231551,,10.644733,8.799621,9.224396,7.747805
BCS,La policía paró al conductor que remolcó ayer el camionero en la carretera.,The police stopped the driver that the trucker towed yesterday on the highway.,OAA,14,7,8,9-10,11-13,8.338458,9.887499,14.015458,3.007924,2.619594,2.190888,10.840126,9.333801,2.019694,7.718545,3.511308,2.034769,2.487627,,10.840126,9.333801,9.738239,8.033704
BCS,La policía paró el tractor que remolcó ayer el camionero en la carretera.,The police stopped the tractor that towed the trucker yesterday on the highway.,OIA,14,7,8,9-10,11-13,8.338458,9.887499,14.015458,2.185256,9.050882,1.69807,10.644733,8.799621,1.397445,7.856719,3.419575,1.952733,2.39605,,10.644733,8.799621,9.254164,7.768358
BCS,La defensa aceptó al testigo que señalo rotundamente al terrorista durante el juicio.,The defence accepted the witness that signalled emphatically to the terrorist during the judgement.,SAA,15,7,8,9-10,11-13,8.338462,10.369978,10.450927,5.723106,3.777845,2.976819,10.121543,11.541373,2.033987,8.371849,7.426965,1.178825,0.535619,,10.121543,11.541373,10.405836,9.141409
BCS,La defensa aceptó la prueba que señalo rotundamente al terrorista durante el juicio.,The defence accepted the evidence that pointed emphatically to the terrorist during the judgement.,SIA,15,7,8,9-10,11-13,8.338462,10.369978,10.450927,1.267292,5.021583,3.857413,11.216052,14.762163,2.905029,7.822014,7.744635,1.04482,0.586241,,11.216052,14.762163,10.727043,9.375696
BCS,La defensa aceptó al testigo que señalo rotundamente el terrorista durante el juicio.,The defence accepted the witness that the terrorist emphatically signalled to during the judgement.,OAA,15,7,8,9-10,11-13,8.338462,10.369978,10.450927,5.723106,3.777845,2.976819,10.121543,11.541373,3.865334,11.42602,7.20603,0.998437,0.857698,,10.121543,11.541373,15.291354,9.062165
BCS,La defensa aceptó la prueba que señalo rotundamente el terrorista durante el juicio.,The defence accepted the evidence that the terrorist emphatically pointed to during the judgement.,OIA,15,7,8,9-10,11-13,8.338462,10.369978,10.450927,1.267292,5.021583,3.857413,11.216052,14.762163,2.493016,9.916152,6.677608,1.159959,0.527326,,11.216052,14.762163,12.409168,8.364893
BCS,Premiaron al asesor que llevó recientemente al candidato al éxito.,They rewarded the advisor that recently led the candidate to success.,SAA,16,5,6,7-8,9-10,23.563312,2.199693,8.234828,6.061043,4.731985,9.538281,2.255865,6.521918,4.897157,7.306774,,,,,4.731985,9.538281,8.777783,12.203931
BCS,Premiaron el programa que llevó recientemente al candidato al éxito.,They rewarded the programme that recently led the candidate to success.,SIA,16,5,6,7-8,9-10,23.563311,2.828318,4.857509,3.856661,6.976335,9.0806,2.982641,8.191614,3.487147,8.255923,,,,,6.976335,9.0806,11.174255,11.74307
BCS,Premiaron al asesor que llevó recientemente el candidato al éxito.,They rewarded the advisor that the candidate recently led to success.,OAA,16,5,6,7-8,9-10,23.563312,2.199693,8.234828,6.061043,4.731985,9.538281,2.42034,7.675157,4.736559,6.100612,,,,,4.731985,9.538281,10.095497,10.837171
BCS,Premiaron el programa que llevó recientemente el candidato al éxito.,They rewarded the programme that the candidate recently led to success,OIA,16,5,6,7-8,9-10,23.563311,2.828318,4.857509,3.856661,6.976335,9.0806,2.048044,8.189708,3.917665,8.482742,,,,,6.976335,9.0806,10.237752,12.400407
BCS,Vieron al anciano que arrolló súbitamente al joven durante el desfile.,They saw the old man that suddenly bumped into the youth during the parade.,SAA,17,5,6,7-8,9-11,19.892325,3.968477,9.559003,2.849635,12.686628,15.155652,2.771885,1.966447,6.465628,1.358553,3.312451,,,,12.686628,15.155652,4.738332,11.136632
BCS,Vieron el coche que arrolló súbitamente al joven durante el desfile.,They saw the car that suddenly ran into the youth during the parade.,SIA,17,5,6,7-8,9-11,19.892325,3.066382,7.622072,3.146446,7.806602,13.305289,2.150959,3.068915,6.313536,1.653936,2.89321,,,,7.806602,13.305289,5.219874,10.860682
BCS,Vieron al anciano que arrolló súbitamente el joven durante el desfile.,They saw the old man that the youth suddenly bumped into during the parade.,OAA,17,5,6,7-8,9-11,19.892325,3.968477,9.559003,2.849635,12.686628,15.155652,2.23186,5.816912,6.843148,1.29565,3.422776,,,,12.686628,15.155652,8.048772,11.561574
BCS,Vieron el coche que arrolló súbitamente el joven durante el desfile.,They saw the car that the youth suddenly bumped into during the parade.,OIA,17,5,6,7-8,9-11,19.892325,3.066382,7.622072,3.146446,7.806602,13.305289,3.292376,5.416564,6.607772,1.589958,3.160965,,,,7.806602,13.305289,8.70894,11.358695
BCS,Conocían al mecenas que promocionó ese año al arquitecto en la ciudad.,They knew the patron that promoted the architect this year in the city.,SAA,18,5,6-7,8-9,10-12,25.93434,3.923189,12.81036,2.931059,8.422622,8.646362,4.56474,2.988125,6.128874,3.926727,1.740593,3.336051,,,8.422622,13.211102,9.116999,9.003371
BCS,Conocían el edificio que promocionó ese año al arquitecto en la ciudad.,They knew the building that promoted the architect this year in the city.,SIA,18,5,6-7,8-9,10-12,25.93434,2.318949,6.667429,3.158023,14.905628,8.594281,3.102632,5.335304,5.111176,4.713984,2.085859,2.480223,,,14.905628,11.696913,10.44648,9.280066
BCS,Conocían al mecenas que promocionó ese año el arquitecto en la ciudad.,They knew the patron that the architect promoted this year in the city.,OAA,18,5,6-7,8-9,10-12,25.93434,3.923189,12.81036,2.931059,8.422622,8.646362,4.56474,1.925126,9.205848,4.882035,2.05715,2.436445,,,8.422622,13.211102,11.130974,9.37563
BCS,Conocían el edificio que promocionó ese año el arquitecto en la ciudad.,They knew the building that the architect promoted this year in the city.,OIA,18,5,6-7,8-9,10-12,25.93434,2.318949,6.667429,3.158023,14.905628,8.594281,3.102632,3.141329,3.695095,5.286919,2.343141,3.059383,,,14.905628,11.696913,6.836424,10.689443
BCS,Secuestraron al capitán que recogió aquella tarde al coronel en el aeródromo.,They kidnapped the captain that picked up the colonel this afternoon at the airport.,SAA,19,5,6-7,8-9,10-12,23.297236,2.552252,5.944499,5.084345,7.29886,11.59742,3.012394,2.172716,5.308519,3.82979,1.211608,4.092661,,,7.29886,14.609814,7.481235,9.134059
BCS,Secuestraron el avión que recogió aquella tarde al coronel en el aeródromo.,They hijacked the plane that picked up the colonel this afternoon at the airport.,SIA,19,5,6-7,8-9,10-12,23.297236,4.115566,4.699724,2.732565,8.800428,12.032775,2.287138,1.962578,4.923137,4.678688,1.316952,2.906506,,,8.800428,14.319913,6.885715,8.902146
BCS,Secuestraron al capitán que recogió aquella tarde el coronel en el aeródromo.,They kidnapped the captain that the colonel picked up this afternoon at the airport.,OAA,19,5,6-7,8-9,10-12,23.297236,2.552252,5.944499,5.084345,7.29886,11.59742,3.012394,3.236767,8.161592,4.444809,1.213489,3.984455,,,7.29886,14.609814,11.398359,9.642753
BCS,Secuestraron el avión que recogió aquella tarde el coronel en el aeródromo.,They hijacked the plane that the colonel picked up this afternoon at the airport.,OIA,19,5,6-7,8-9,10-12,23.297236,4.115566,4.699724,2.732565,8.800428,12.032775,2.287138,4.319167,4.929266,4.868353,1.456384,2.944158,,,8.800428,14.319913,9.248433,9.268895
BCS,El juez cronometró al aspirante que batió ampliamente al campeón en la carrera.,The judge timed the opponent that easily beat the champion in the race.,SAA,20,7,8,9-10,11-13,8.230897,10.665969,17.467566,3.185501,7.508362,3.359446,9.082783,11.179423,2.314227,2.478557,3.102371,1.760648,4.573388,,9.082783,11.179423,4.792784,9.436407
BCS,El juez cronometró la marca que batió ampliamente al campeón en la carrera.,The judge timed the record that easily beat the champion in the race.,SIA,20,7,8,9-10,11-13,8.230897,10.665969,17.467566,1.61392,7.538652,3.747191,5.297463,12.510521,4.326258,4.800776,3.679298,2.240755,3.301154,,5.297463,12.510521,9.127034,9.221207
BCS,El juez cronometró al aspirante que batió ampliamente el campeón en la carrera.,The judge timed the opponent that the champion easily beat in the race.,OAA,20,7,8,9-10,11-13,8.230897,10.665969,17.467566,3.185501,7.508362,3.359446,9.082783,11.179423,1.039843,8.987618,3.032956,1.547785,3.912057,,9.082783,11.179423,10.027461,8.492798
BCS,El juez cronometró la marca que batió ampliamente el campeón en la carrera.,The judge timed the record that the champion easily beat in the race.,OIA,20,7,8,9-10,11-13,8.230897,10.665969,17.467566,1.61392,7.538652,3.747191,5.297463,12.510521,1.220608,5.97435,3.852992,1.98784,3.27344,,5.297463,12.510521,7.194958,9.114272
BCS,Luis defendió al abogado que confundió esa mañana al director del Banco.,Luis defended the lawyer that confused the director of the bank this morning.,SAA,21,6,7-8,9-10,11-12,11.08925,20.593194,3.199463,6.599582,2.749592,9.567499,10.367773,4.427653,2.059652,6.048381,1.451629,4.455583,,,9.567499,14.795426,8.108033,5.907212
BCS,Luis defendió el presupuesto que confundió esa mañana al director del Banco.,Luis defended the budget that confused the director of the bank this morning.,SIA,21,6,7-8,9-10,11-12,11.08925,20.593194,1.879084,4.655623,3.234213,15.110944,11.41157,5.245495,2.525391,4.309211,1.793478,3.061463,,,15.110944,16.657065,6.834602,4.854941
BCS,Luis defendió al abogado que confundió esa mañana el director del Banco.,Luis defended the lawyer that the director of the bank mistook this morning.,OAA,21,6,7-8,9-10,11-12,11.08925,20.593194,3.199463,6.599582,2.749592,9.567499,10.367773,4.427653,3.743256,8.077088,1.496498,4.905365,,,9.567499,14.795426,11.820344,6.401863
BCS,Luis defendió el presupuesto que confundió esa mañana el director del Banco.,Luis defended the budget that the director of the bank mistook this morning.,OIA,21,6,7-8,9-10,11-12,11.08925,20.593194,1.879084,4.655623,3.234213,15.110944,11.41157,5.245495,3.847672,5.349324,1.721171,3.187554,,,15.110944,16.657065,9.196996,4.908725
BCS,El cirujano operó al policía que salvó finalmente al joven de la muerte.,The surgeon operated on the policeman that finally saved the youth from death.,SAA,22,7,8,9-10,11-13,8.230895,14.161169,10.963395,2.720536,6.922784,2.679495,3.743093,12.977962,2.131321,3.728749,1.957855,1.393473,0.911955,,3.743093,12.977962,5.86007,4.263283
BCS,El cirujano operó el riñón que salvó finalmente al joven de la muerte.,The surgeon operated on the kidney that finally saved the youth from death.,SIA,22,7,8,9-10,11-13,8.230895,14.161169,10.963395,2.916108,6.247698,4.223007,5.260334,11.724939,3.317954,3.180779,1.552743,1.252015,0.315757,,5.260334,11.724939,6.498733,3.120515
BCS,El cirujano operó al policía que salvó finalmente el joven de la muerte.,The surgeon operated on the policeman that the youth finally saved from death.,OAA,22,7,8,9-10,11-13,8.230895,14.161169,10.963395,2.720536,6.922784,2.679495,3.743093,12.977962,3.595659,8.584479,2.114386,1.438573,1.036628,,3.743093,12.977962,12.180138,4.589587
