Country,Text,Translation,Type,Item,Scene,Region1,Region2,Region3,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal
reali,El funcionario que ayudaron las recepcionistas admiraba mucho a su jefe,The employer that the receptionists helped admired his boss a lot.,fullNP_OVS,7,7,4-6,6,7,8.230893,13.118335,3.97722,15.128199,4.65133,10.097034,13.371196,3.995497,0.944304,2.538664,1.220429,,29.876563,10.097034,13.371196
reali,El funcionario que las recepcionistas ayudaron admiraba mucho a su jefe,The employer that the receptionists helped admired his boss a lot.,fullNP_OSV,7,7,4-6,6,7,8.230893,13.118335,3.97722,6.996452,16.890574,9.221644,14.254236,4.007057,0.94627,2.112482,1.899251,,33.10867,9.221644,14.254236
reali,El funcionario que nosotros ayudamos admiraba mucho a su jefe,,proNP_OSV,7,7,4-5,5,6,8.230895,13.118264,3.977215,11.271039,6.85889,14.176383,2.891867,0.864466,2.752021,2.142833,,,18.129929,6.85889,14.176383
reali,El funcionario que ayudamos nosotros admiraba mucho a su jefe,,proNP_OVS,7,7,4-5,5,6,8.230895,13.118264,3.977215,14.535458,9.521414,13.894897,2.987607,0.920385,3.083375,2.351503,,,24.056872,9.521414,13.894897
reali,El niño que encontraron los policí­as escondió la evidencia,The boy that the policemen met hid the evidence,fullNP_OVS,8,8,4-6,6,7,8.230893,9.531267,4.707793,10.671803,3.151704,11.08196,14.107069,2.65458,5.0347,,,,24.905467,11.08196,14.107069
reali,El niño que los policí­as encontraron escondió la evidencia,The boy that the policemen met hid the evidence,fullNP_OSV,8,8,4-6,6,7,8.230893,9.531267,4.707793,6.30457,14.433703,3.769521,13.016089,3.433021,4.468346,,,,24.507794,3.769521,13.016089
reali,El niño que nosotros encontramos escondió la evidencia,,proNP_OSV,8,8,4-5,5,6,8.230895,9.531277,4.707792,10.555628,5.788062,15.807638,2.646086,6.396619,,,,,16.34369,5.788062,15.807638
reali,El niño que encontramos nosotros escondió la evidencia,,proNP_OVS,8,8,4-5,5,6,8.230895,9.531277,4.707792,10.773679,8.447765,17.87836,2.421416,7.019758,,,,,19.221444,8.447765,17.87836
reali,El caballero que mencionaron los celadores olvidó traer sus llaves,The gentleman that the doormen mentioned forgot to bring his keys,fullNP_OVS,9,9,4-6,6,7,8.230895,12.071373,5.131155,14.844095,2.48898,10.557696,11.038626,5.233834,2.925444,1.107399,,,27.890771,10.557696,11.038626
reali,El caballero que los celadores mencionaron olvidó traer sus llaves,The gentleman that the doormen mentioned forgot to bring his keys,fullNP_OSV,9,9,4-6,6,7,8.230895,12.071373,5.131155,5.76618,13.446675,10.760478,11.069161,5.415237,2.743997,0.817458,,,29.973333,10.760478,11.069161
reali,El caballero que nosotros mencionamos se olvidó de traer sus llaves,,proNP_OSV,9,9,4-5,5,6,8.230895,12.071373,5.131155,12.581289,10.219737,4.049479,8.699039,0.575317,4.350784,2.93104,2.99049,,22.801026,10.219737,4.049479
reali,El caballero que mencionamos nosotros se olvidó de traer sus llaves,,proNP_OVS,9,9,4-5,5,6,8.230895,12.071373,5.131155,13.106344,9.386022,4.059748,8.391026,0.753384,4.558071,3.022378,3.190352,,22.492366,9.386022,4.059748
reali,El mesero que ofendieron los comensales detestaba al chef del restaurante,The waiter that the guests offended despised the restaurant chef,fullNP_OVS,10,10,4-6,6,7,8.230895,13.229107,4.077158,15.6904,1.90502,5.275259,18.947672,3.890671,4.037876,4.209064,0.15201,,22.870679,5.275259,18.947672
reali,El mesero que los comensales ofendieron detestaba al chef del restaurante,The waiter that the guests offended despised the restaurant chef,fullNP_OSV,10,10,4-6,6,7,8.230895,13.229107,4.077158,6.043125,8.641088,10.986183,17.283891,4.086148,3.748649,3.740011,0.136081,,25.670396,10.986183,17.283891
reali,El mesero que nosotros ofendimos detestaba al chef del restaurante,,proNP_OSV,10,10,4-5,5,6,8.230893,13.229118,4.077166,11.041471,14.483083,14.776056,3.614594,4.733692,3.853127,0.249276,,,25.524554,14.483083,14.776056
reali,El mesero que ofendimos nosotros detestaba al chef del restaurante,,proNP_OVS,10,10,4-5,5,6,8.230893,13.229118,4.077166,17.184264,9.036799,16.401213,3.452934,4.681237,4.238534,0.197955,,,26.221063,9.036799,16.401213
reali,El enfermero que buscaban los médicos trataba muy bien a los pacientes,The nurse that the doctors looked for treated the patients very nicely,fullNP_OVS,11,11,4-6,6,7,8.230895,16.155201,3.159599,11.051696,1.351964,5.665632,12.898675,7.218972,0.917788,0.167483,0.866335,0.607157,18.069292,5.665632,12.898675
reali,El enfermero que los médicos buscaban trataba muy bien a los pacientes,The nurse that the doctors looked for treated the patients very nicely,fullNP_OSV,11,11,4-6,6,7,8.230895,16.155201,3.159599,6.523818,4.556715,8.905626,11.856527,7.528721,0.917053,0.201545,0.87505,0.478321,19.986159,8.905626,11.856527
reali,El enfermero que nosotros buscábamos trataba muy bien a los pacientes,,proNP_OSV,11,11,4-5,5,6,8.230893,16.155232,3.159603,10.880919,6.421174,11.170831,5.658333,0.863597,0.25398,1.513626,0.745392,,17.302093,6.421174,11.170831
reali,El enfermero que buscábamos nosotros trataba muy bien a los pacientes,,proNP_OVS,11,11,4-5,5,6,8.230893,16.155232,3.159603,12.274104,9.635889,13.046425,5.945201,0.958523,0.302122,1.537216,1.264197,,21.909993,9.635889,13.046425
reali,El ratón que atraparon los gatos era astuto y veloz,The mouse that the cats caught was fast and clever,fullNP_OVS,12,12,4-6,6,7,8.230893,13.167311,3.985804,11.176771,2.093323,3.592204,8.973949,9.015336,1.879912,4.730566,,,16.862298,3.592204,8.973949
reali,El ratón que los gatos atraparon era astuto y veloz,The mouse that the cats caught was fast and clever,fullNP_OSV,12,12,4-6,6,7,8.230893,13.167311,3.985804,7.221749,4.435784,5.384397,9.166783,8.377369,1.741853,4.617463,,,17.04193,5.384397,9.166783
reali,El ratón que nosotros atrapamos era astuto y veloz,,proNP_OSV,12,12,4-5,5,6,8.230895,13.167309,3.985775,10.941887,8.15645,3.857193,9.000316,1.157858,4.236072,,,,19.098337,8.15645,3.857193
reali,El ratón que atrapamos nosotros era astuto y veloz,,proNP_OVS,12,12,4-5,5,6,8.230895,13.167309,3.985775,12.609286,7.3387,8.10938,9.129952,1.115524,4.267096,,,,19.947986,7.3387,8.10938
