Country,Text,Translation,Type,Item,Scene,Region1,Region2,Region3,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal
reali,El niño que encontraron los policí­as escondió la evidencia,The boy that the policemen met hid the evidence,fullNP_OVS,8,8,4-6,6,7,8.349777,8.662788,3.804385,9.215143,6.078189,12.994766,15.612442,3.259322,4.964623,,,,28.288098,12.994766,15.612442
reali,El niño que los policí­as encontraron escondió la evidencia,The boy that the policemen met hid the evidence,fullNP_OSV,8,8,4-6,6,7,8.349777,8.662788,3.804385,6.132738,19.69481,3.318134,12.138431,4.439817,5.440331,,,,29.145682,3.318134,12.138431
reali,El niño que nosotros encontramos escondió la evidencia,,proNP_OSV,8,8,4-5,5,6,8.349784,8.662793,3.804418,11.264884,6.334005,17.241157,3.700715,6.462494,,,,,17.598889,6.334005,17.241157
reali,El niño que encontramos nosotros escondió la evidencia,,proNP_OVS,8,8,4-5,5,6,8.349784,8.662793,3.804418,10.587495,8.777431,17.67959,3.620252,6.845513,,,,,19.364926,8.777431,17.67959
reali,El caballero que mencionaron los celadores olvidó traer sus llaves,The gentleman that the doormen mentioned forgot to bring his keys,fullNP_OVS,9,9,4-6,6,7,8.349777,12.97181,4.297384,14.498005,2.360186,8.847536,10.784332,6.691832,3.727977,3.811607,,,25.705727,8.847536,10.784332
reali,El caballero que los celadores mencionaron olvidó traer sus llaves,The gentleman that the doormen mentioned forgot to bring his keys,fullNP_OSV,9,9,4-6,6,7,8.349777,12.97181,4.297384,7.917937,13.21125,10.647066,11.583277,6.029593,3.130521,2.02577,,,31.776253,10.647066,11.583277
reali,El caballero que nosotros mencionamos se olvidó de traer sus llaves,,proNP_OSV,9,9,4-5,5,6,8.349777,12.97181,4.297384,12.091684,8.650578,4.470916,9.866404,0.638901,5.27535,3.157596,4.595319,,20.742262,8.650578,4.470916
reali,El caballero que mencionamos nosotros se olvidó de traer sus llaves,,proNP_OVS,9,9,4-5,5,6,8.349777,12.97181,4.297384,13.16855,9.520069,4.376225,9.376146,0.514521,4.864234,3.392682,4.308892,,22.688619,9.520069,4.376225
reali,El mesero que ofendieron los comensales detestaba al chef del restaurante,The waiter that the guests offended despised the restaurant chef,fullNP_OVS,10,10,4-6,6,7,8.349777,13.385409,4.021951,15.286461,3.410517,7.41837,20.887353,3.179322,4.647507,3.193951,0.183081,,26.115348,7.41837,20.887353
reali,El mesero que los comensales ofendieron detestaba al chef del restaurante,The waiter that the guests offended despised the restaurant chef,fullNP_OSV,10,10,4-6,6,7,8.349777,13.385409,4.021951,5.867184,8.488345,8.78328,19.086026,3.531005,6.297244,3.289124,0.206787,,23.138809,8.78328,19.086026
reali,El mesero que nosotros ofendimos detestaba al chef del restaurante,,proNP_OSV,10,10,4-5,5,6,8.349777,13.385409,4.021951,10.471222,13.866127,15.032072,3.068146,6.358959,3.45938,0.456349,,,24.337349,13.866127,15.032072
reali,El mesero que ofendimos nosotros detestaba al chef del restaurante,,proNP_OVS,10,10,4-5,5,6,8.349777,13.385409,4.021951,18.322992,9.342471,13.921522,2.74598,5.735229,3.220762,0.352701,,,27.665463,9.342471,13.921522
reali,El enfermero que buscaban los médicos trataba muy bien a los pacientes,The nurse that the doctors looked for treated the patients very nicely,fullNP_OVS,11,11,4-6,6,7,8.349777,14.068309,4.206252,10.36284,1.772322,3.926195,9.462231,7.47943,0.907815,0.246774,1.139639,0.619886,16.061357,3.926195,9.462231
reali,El enfermero que los médicos buscaban trataba muy bien a los pacientes,The nurse that the doctors looked for treated the patients very nicely,fullNP_OSV,11,11,4-6,6,7,8.349777,14.068309,4.206252,6.034446,4.543871,8.681642,10.929747,7.351394,0.712518,0.326632,1.128499,0.700992,19.259959,8.681642,10.929747
reali,El enfermero que nosotros buscábamos trataba muy bien a los pacientes,,proNP_OSV,11,11,4-5,5,6,8.349777,14.068309,4.206252,10.590351,7.613213,10.062766,6.296628,0.402948,0.527921,1.50973,0.74604,,18.203564,7.613213,10.062766
reali,El enfermero que buscábamos nosotros trataba muy bien a los pacientes,,proNP_OVS,11,11,4-5,5,6,8.349777,14.068309,4.206252,11.609787,9.996601,9.696108,6.356111,0.549991,0.489377,1.636595,0.944593,,21.606388,9.996601,9.696108
reali,El ratón que atraparon los gatos era astuto y veloz,The mouse that the cats caught was fast and clever,fullNP_OVS,12,12,4-6,6,7,8.349777,12.03091,3.730006,9.89497,2.807531,3.593214,7.556098,8.171646,1.527878,4.535867,,,16.295715,3.593214,7.556098
reali,El ratón que los gatos atraparon era astuto y veloz,The mouse that the cats caught was fast and clever,fullNP_OSV,12,12,4-6,6,7,8.349777,12.03091,3.730006,6.681789,4.519361,5.733144,7.716114,7.771941,1.376045,4.715527,,,16.934294,5.733144,7.716114
reali,El ratón que nosotros atrapamos era astuto y veloz,,proNP_OSV,12,12,4-5,5,6,8.349784,12.030926,3.730018,11.27774,8.29588,4.206791,8.647899,1.329003,4.954913,,,,19.57362,8.29588,4.206791
reali,El ratón que atrapamos nosotros era astuto y veloz,,proNP_OVS,12,12,4-5,5,6,8.349784,12.030926,3.730018,11.179209,9.020867,4.781327,8.901913,1.396632,4.887644,,,,20.200076,9.020867,4.781327
