Country,Text,Translation,Type,Item,Scene,Region1,Region2,Region3,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal
reali,La ardilla que nosotros asustamos devoró la nuez,The squirrel that we scared off devoured the nut,proNP_OSV,4,4,4-5,5,6,8.5351,12.280974,11.720367,7.744789,20.740503,18.906067,3.297991,,,,,28.485292,20.740503,18.906067
reali,La ardilla que asustamos nosotros devoró la nuez,The squirrel that we scared off devoured the nut,proNP_OVS,4,4,4-5,5,6,8.5351,12.280974,11.720367,23.858693,8.917437,17.145899,3.148195,,,,,32.77613,8.917437,17.145899
reali,El perro que temían las palomas mordió a la niña pequeña,The dog that the pigeons feared bit the little girl,fullNP_OVS,5,5,4-6,6,7,8.497128,10.854795,10.51313,18.451919,4.956683,10.675494,17.599167,4.328208,2.455689,10.915616,,34.084096,10.675494,17.599167
reali,El perro que las palomas temí­an mordió a la niña pequeña,The dog that the pigeons feared bit the little girl,fullNP_OSV,5,5,4-6,6,7,8.497128,10.854795,10.51313,6.523318,12.643603,28.560387,18.594505,4.556191,2.776801,11.787467,,47.727308,28.560387,18.594505
reali,El perro que nosotros temíamos mordió a la niña pequeña,The dog that we feared bit the little girl,proNP_OSV,5,5,4-5,5,6,8.497128,10.854795,10.51313,9.226443,28.340196,19.447814,4.463315,2.540766,11.330881,,,37.566639,28.340196,19.447814
reali,El perro que temíamos nosotros mordió a la niña pequeña,The dog that we feared bit the little girl,proNP_OVS,5,5,4-5,5,6,8.497128,10.854795,10.51313,31.064415,7.300547,19.339771,4.537757,2.468758,11.657465,,,38.364962,7.300547,19.339771
reali,El detective que contactaron los abogados dijo la verdad,The detective that the lawyers contacted told the truth,fullNP_OVS,6,6,4-6,6,7,8.499944,12.489246,2.897098,16.664907,4.441172,19.287058,8.424793,4.760081,,,,40.393137,19.287058,8.424793
reali,El detective que los abogados contactaron dijo la verdad,The detective that the lawyers contacted told the truth,fullNP_OSV,6,6,4-6,6,7,8.499944,12.489246,2.897098,6.628582,24.250973,14.922978,9.165585,4.852623,,,,45.802533,14.922978,9.165585
reali,El detective que nosotros contactamos dijo la verdad,,proNP_OSV,6,6,4-5,5,6,8.499944,12.489246,2.897098,10.648113,14.983069,8.985438,4.678288,,,,,25.631182,14.983069,8.985438
reali,El detective que contactamos nosotros dijo la verdad,,proNP_OVS,6,6,4-5,5,6,8.499944,12.489246,2.897098,18.489125,8.963017,7.848884,4.596231,,,,,27.452142,8.963017,7.848884
reali,El funcionario que ayudaron las recepcionistas admiraba mucho a su jefe,The employer that the receptionists helped admired his boss a lot.,fullNP_OVS,7,7,4-6,6,7,8.497128,11.594057,8.667975,15.413724,3.834175,13.351843,15.412727,6.228679,2.815181,3.760533,,32.599742,13.351843,15.412727
reali,El funcionario que las recepcionistas ayudaron admiraba mucho a su jefe,The employer that the receptionists helped admired his boss a lot.,fullNP_OSV,7,7,4-6,6,7,8.497128,11.594057,8.667975,5.929078,14.881379,11.594773,14.223664,5.850584,2.495975,3.777827,,32.40523,11.594773,14.223664
reali,El funcionario que nosotros ayudamos admiraba mucho a su jefe,,proNP_OSV,7,7,4-5,5,6,8.499944,11.594645,8.672295,7.634073,10.999665,15.572695,5.779027,3.243382,4.696069,,,18.633738,10.999665,15.572695
reali,El funcionario que ayudamos nosotros admiraba mucho a su jefe,,proNP_OVS,7,7,4-5,5,6,8.499944,11.594645,8.672295,14.382963,8.649893,13.603199,5.9098,3.365301,4.593157,,,23.032856,8.649893,13.603199
reali,El niño que encontraron los policí­as escondió la evidencia,The boy that the policemen met hid the evidence,fullNP_OVS,8,8,4-6,6,7,8.497128,9.491564,7.553256,11.212819,3.890343,16.64042,17.067046,3.58709,,,,31.743582,16.64042,17.067046
reali,El niño que los policí­as encontraron escondió la evidencia,The boy that the policemen met hid the evidence,fullNP_OSV,8,8,4-6,6,7,8.497128,9.491564,7.553256,5.655671,17.107929,11.608771,19.47797,3.543306,,,,34.372371,11.608771,19.47797
reali,El niño que nosotros encontramos escondió la evidencia,,proNP_OSV,8,8,4-5,5,6,8.499944,9.488435,7.54799,8.279745,7.433703,17.367631,3.291516,,,,,15.713448,7.433703,17.367631
reali,El niño que encontramos nosotros escondió la evidencia,,proNP_OVS,8,8,4-5,5,6,8.499944,9.488435,7.54799,11.373053,7.368323,15.98127,3.144641,,,,,18.741376,7.368323,15.98127
reali,El caballero que mencionaron los celadores olvidó traer sus llaves,The gentleman that the doormen mentioned forgot to bring his keys,fullNP_OVS,9,9,4-6,6,7,8.497128,18.752366,8.867389,20.376717,6.962864,12.460979,17.046423,12.288382,8.128193,,,39.80056,12.460979,17.046423
reali,El caballero que los celadores mencionaron olvidó traer sus llaves,The gentleman that the doormen mentioned forgot to bring his keys,fullNP_OSV,9,9,4-6,6,7,8.497128,18.752366,8.867389,5.345576,12.811135,20.895716,17.284002,12.409212,7.801685,,,39.052427,20.895716,17.284002
reali,El caballero que nosotros mencionamos se olvidó de traer sus llaves,,proNP_OSV,9,9,4-5,5,6,8.497128,18.752366,8.867389,7.77917,16.267075,7.332223,15.283254,3.843917,11.638489,7.362535,,24.046245,16.267075,7.332223
reali,El caballero que mencionamos nosotros se olvidó de traer sus llaves,,proNP_OVS,9,9,4-5,5,6,8.497128,18.752366,8.867389,20.488045,8.005118,5.107738,15.004617,3.807678,11.27742,7.005075,,28.493163,8.005118,5.107738
reali,El mesero que ofendieron los comensales detestaba al chef del restaurante,The waiter that the guests offended despised the restaurant chef,fullNP_OVS,10,10,4-6,6,7,8.497128,11.612187,7.416327,25.358836,3.894749,18.32189,18.758712,4.142636,9.010675,6.381484,,47.575475,18.32189,18.758712
reali,El mesero que los comensales ofendieron detestaba al chef del restaurante,The waiter that the guests offended despised the restaurant chef,fullNP_OSV,10,10,4-6,6,7,8.497128,11.612187,7.416327,5.62843,21.413713,19.670553,19.292572,4.192759,9.05066,6.504193,,46.712696,19.670553,19.292572
reali,El mesero que nosotros ofendimos detestaba al chef del restaurante,,proNP_OSV,10,10,4-5,5,6,8.497128,11.612187,7.416327,7.937024,19.274921,19.41778,4.424825,9.849535,5.918237,,,27.211945,19.274921,19.41778
reali,El mesero que ofendimos nosotros detestaba al chef del restaurante,,proNP_OVS,10,10,4-5,5,6,8.497128,11.612187,7.416327,24.472117,12.598158,18.713028,4.294289,9.219052,6.308551,,,37.070275,12.598158,18.713028
reali,El enfermero que buscaban los médicos trataba muy bien a los pacientes,The nurse that the doctors looked for treated the patients very nicely,fullNP_OVS,11,11,4-6,6,7,8.497128,15.729189,9.217356,12.899718,3.303311,9.551038,13.675342,7.360965,2.828689,3.47272,2.34374,25.754067,9.551038,13.675342
reali,El enfermero que los médicos buscaban trataba muy bien a los pacientes,The nurse that the doctors looked for treated the patients very nicely,fullNP_OSV,11,11,4-6,6,7,8.497128,15.729189,9.217356,5.902122,10.75042,13.390103,13.626674,7.466636,2.8039,3.461673,2.236916,30.042645,13.390103,13.626674
reali,El enfermero que nosotros buscábamos trataba muy bien a los pacientes,,proNP_OSV,11,11,4-5,5,6,8.497128,15.729189,9.217356,8.156028,12.672274,13.557269,7.231147,2.358499,3.322481,2.419711,,20.828302,12.672274,13.557269
reali,El enfermero que buscábamos nosotros trataba muy bien a los pacientes,,proNP_OVS,11,11,4-5,5,6,8.497128,15.729189,9.217356,15.893649,7.689256,13.886611,7.313632,2.400455,3.359175,2.351719,,23.582905,7.689256,13.886611
reali,El ratón que atraparon los gatos era astuto y veloz,The mouse that the cats caught was fast and clever,fullNP_OVS,12,12,4-6,6,7,8.497128,13.185871,9.497173,21.298327,3.549203,8.700471,6.710066,12.899382,2.981103,,,33.548001,8.700471,6.710066
reali,El ratón que los gatos atraparon era astuto y veloz,The mouse that the cats caught was fast and clever,fullNP_OSV,12,12,4-6,6,7,8.497128,13.185871,9.497173,5.248096,9.717684,20.856248,7.520113,12.934405,2.818906,,,35.822028,20.856248,7.520113
reali,El ratón que nosotros atrapamos era astuto y veloz,,proNP_OSV,12,12,4-5,5,6,8.499944,13.186631,9.497805,8.11594,17.162192,8.530375,10.849483,2.863447,,,,25.278132,17.162192,8.530375
reali,El ratón que atrapamos nosotros era astuto y veloz,,proNP_OVS,12,12,4-5,5,6,8.499944,13.186631,9.497805,18.926836,9.145931,7.603528,11.423947,3.090919,,,,28.072767,9.145931,7.603528
